month,year,scenario,pressure,temperature,extraction,recharge
36,3.0,Aggressive extraction,45.63999999999991,232.89999999999918,22,5
37,3.0833333333333335,Aggressive extraction,44.12999999999991,232.42499999999916,22,5
38,3.1666666666666665,Aggressive extraction,42.61999999999991,231.94999999999914,22,5
39,3.25,Aggressive extraction,41.109999999999914,231.4749999999991,22,5
40,3.3333333333333335,Aggressive extraction,39.599999999999916,230.9999999999991,22,5
41,3.4166666666666665,Aggressive extraction,38.08999999999992,230.52499999999907,22,5
42,3.5,Aggressive extraction,36.57999999999992,230.04999999999905,22,5
43,3.5833333333333335,Aggressive extraction,35.06999999999992,229.57499999999902,22,5
44,3.6666666666666665,Aggressive extraction,33.559999999999924,229.099999999999,22,5
45,3.75,Aggressive extraction,32.049999999999926,228.62499999999898,22,5
46,3.8333333333333335,Aggressive extraction,30.539999999999925,228.14999999999895,22,5
47,3.9166666666666665,Aggressive extraction,29.029999999999923,227.67499999999893,22,5
48,4.0,Aggressive extraction,27.51999999999992,227.1999999999989,22,5
49,4.083333333333333,Aggressive extraction,26.00999999999992,226.7249999999989,22,5
50,4.166666666666667,Aggressive extraction,24.49999999999992,226.24999999999886,22,5
51,4.25,Aggressive extraction,22.989999999999917,225.77499999999884,22,5
52,4.333333333333333,Aggressive extraction,21.479999999999915,225.29999999999882,22,5
53,4.416666666666667,Aggressive extraction,19.969999999999914,224.8249999999988,22,5
54,4.5,Aggressive extraction,18.459999999999912,224.34999999999877,22,5
55,4.583333333333333,Aggressive extraction,16.94999999999991,223.87499999999875,22,5
56,4.666666666666667,Aggressive extraction,15.43999999999991,223.39999999999873,22,5
57,4.75,Aggressive extraction,13.929999999999911,222.9249999999987,22,5
58,4.833333333333333,Aggressive extraction,12.419999999999911,222.44999999999868,22,5
59,4.916666666666667,Aggressive extraction,10.909999999999911,221.97499999999866,22,5
60,5.0,Aggressive extraction,9.399999999999912,221.49999999999864,22,5
61,5.083333333333333,Aggressive extraction,7.889999999999912,221.0249999999986,22,5
62,5.166666666666667,Aggressive extraction,6.379999999999912,220.5499999999986,22,5
63,5.25,Aggressive extraction,4.869999999999912,220.07499999999857,22,5
64,5.333333333333333,Aggressive extraction,3.3599999999999124,219.59999999999854,22,5
65,5.416666666666667,Aggressive extraction,1.8499999999999124,219.12499999999852,22,5
66,5.5,Aggressive extraction,0.3399999999999124,218.6499999999985,22,5
67,5.583333333333333,Aggressive extraction,-1.1700000000000876,218.17499999999848,22,5
68,5.666666666666667,Aggressive extraction,-2.6800000000000876,217.69999999999845,22,5
69,5.75,Aggressive extraction,-4.190000000000087,217.22499999999843,22,5
70,5.833333333333333,Aggressive extraction,-5.700000000000087,216.7499999999984,22,5
71,5.916666666666667,Aggressive extraction,-7.210000000000087,216.27499999999839,22,5
72,6.0,Aggressive extraction,-8.720000000000088,215.79999999999836,22,5
73,6.083333333333333,Aggressive extraction,-10.230000000000087,215.32499999999834,22,5
74,6.166666666666667,Aggressive extraction,-11.740000000000087,214.84999999999832,22,5
75,6.25,Aggressive extraction,-13.250000000000087,214.3749999999983,22,5
76,6.333333333333333,Aggressive extraction,-14.760000000000087,213.89999999999827,22,5
77,6.416666666666667,Aggressive extraction,-16.27000000000009,213.42499999999825,22,5
78,6.5,Aggressive extraction,-17.78000000000009,212.94999999999823,22,5
79,6.583333333333333,Aggressive extraction,-19.29000000000009,212.4749999999982,22,5
80,6.666666666666667,Aggressive extraction,-20.800000000000093,211.99999999999818,22,5
81,6.75,Aggressive extraction,-22.310000000000095,211.52499999999816,22,5
82,6.833333333333333,Aggressive extraction,-23.820000000000096,211.04999999999814,22,5
83,6.916666666666667,Aggressive extraction,-25.330000000000098,210.5749999999981,22,5
84,7.0,Aggressive extraction,-26.8400000000001,210.0999999999981,22,5
85,7.083333333333333,Aggressive extraction,-28.3500000000001,209.62499999999807,22,5
86,7.166666666666667,Aggressive extraction,-29.860000000000102,209.14999999999804,22,5
87,7.25,Aggressive extraction,-31.370000000000104,208.67499999999802,22,5
88,7.333333333333333,Aggressive extraction,-32.8800000000001,208.199999999998,22,5
89,7.416666666666667,Aggressive extraction,-34.3900000000001,207.72499999999798,22,5
90,7.5,Aggressive extraction,-35.9000000000001,207.24999999999795,22,5
91,7.583333333333333,Aggressive extraction,-37.410000000000096,206.77499999999793,22,5
92,7.666666666666667,Aggressive extraction,-38.920000000000094,206.2999999999979,22,5
93,7.75,Aggressive extraction,-40.43000000000009,205.82499999999789,22,5
94,7.833333333333333,Aggressive extraction,-41.94000000000009,205.34999999999786,22,5
95,7.916666666666667,Aggressive extraction,-43.45000000000009,204.87499999999784,22,5
96,8.0,Aggressive extraction,-44.960000000000086,204.39999999999782,22,5
97,8.083333333333334,Aggressive extraction,-46.470000000000084,203.9249999999978,22,5
98,8.166666666666666,Aggressive extraction,-47.98000000000008,203.44999999999777,22,5
99,8.25,Aggressive extraction,-49.49000000000008,202.97499999999775,22,5
100,8.333333333333334,Aggressive extraction,-51.00000000000008,202.49999999999773,22,5
101,8.416666666666666,Aggressive extraction,-52.510000000000076,202.0249999999977,22,5
102,8.5,Aggressive extraction,-54.020000000000074,201.54999999999768,22,5
103,8.583333333333334,Aggressive extraction,-55.53000000000007,201.07499999999766,22,5
104,8.666666666666666,Aggressive extraction,-57.04000000000007,200.59999999999764,22,5
105,8.75,Aggressive extraction,-58.55000000000007,200.1249999999976,22,5
106,8.833333333333334,Aggressive extraction,-60.060000000000066,199.6499999999976,22,5
107,8.916666666666666,Aggressive extraction,-61.570000000000064,199.17499999999757,22,5
108,9.0,Aggressive extraction,-63.08000000000006,198.69999999999754,22,5
109,9.083333333333334,Aggressive extraction,-64.59000000000006,198.22499999999752,22,5
110,9.166666666666666,Aggressive extraction,-66.10000000000007,197.7499999999975,22,5
111,9.25,Aggressive extraction,-67.61000000000007,197.27499999999748,22,5
112,9.333333333333334,Aggressive extraction,-69.12000000000008,196.79999999999745,22,5
113,9.416666666666666,Aggressive extraction,-70.63000000000008,196.32499999999743,22,5
114,9.5,Aggressive extraction,-72.14000000000009,195.8499999999974,22,5
115,9.583333333333334,Aggressive extraction,-73.65000000000009,195.37499999999739,22,5
116,9.666666666666666,Aggressive extraction,-75.1600000000001,194.89999999999736,22,5
117,9.75,Aggressive extraction,-76.6700000000001,194.42499999999734,22,5
118,9.833333333333334,Aggressive extraction,-78.1800000000001,193.94999999999732,22,5
119,9.916666666666666,Aggressive extraction,-79.69000000000011,193.4749999999973,22,5
120,10.0,Aggressive extraction,-81.20000000000012,192.99999999999727,22,5
